Retrospective,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,K-Nearest Neighbors,Neural Network
10,0.4812623274161736,0.6844181459566075,0.5108481262327417,0.8165680473372781,0.7100591715976331,0.6331360946745562
20,0.4901185770750988,0.7964426877470355,0.5355731225296443,0.8517786561264822,0.6996047430830039,0.6600790513833992
30,0.4534653465346535,0.7762376237623763,0.5485148514851486,0.8950495049504951,0.7029702970297029,0.697029702970297
40,0.48906560636182905,0.8071570576540755,0.5427435387673957,0.8747514910536779,0.7594433399602386,0.7415506958250497
50,0.5129740518962076,0.8483033932135728,0.5469061876247505,0.9121756487025948,0.7325349301397206,0.7445109780439122
60,0.4909819639278557,0.8797595190380761,0.5410821643286573,0.9258517034068137,0.7935871743486974,0.7595190380761523
70,0.46987951807228917,0.8654618473895582,0.5662650602409639,0.9257028112449799,0.7831325301204819,0.785140562248996
80,0.49899396378269617,0.8873239436619719,0.5211267605633803,0.9396378269617707,0.7766599597585513,0.7907444668008048
90,0.5070422535211268,0.9154929577464789,0.5734406438631791,0.9436619718309859,0.8209255533199196,0.8249496981891348
100,0.5665322580645161,0.8870967741935484,0.5141129032258065,0.9455645161290323,0.7923387096774194,0.7943548387096774
110,0.5342741935483871,0.9133064516129032,0.5645161290322581,0.9637096774193549,0.7963709677419355,0.8205645161290323
120,0.5404858299595142,0.8927125506072875,0.6234817813765182,0.9493927125506073,0.7935222672064778,0.8259109311740891
130,0.5508130081300813,0.926829268292683,0.6117886178861789,0.9471544715447154,0.8089430894308943,0.8313008130081301
140,0.563265306122449,0.8857142857142857,0.6040816326530613,0.9489795918367347,0.7795918367346939,0.826530612244898
150,0.563265306122449,0.8755102040816326,0.5938775510204082,0.9387755102040817,0.753061224489796,0.826530612244898
160,0.588957055214724,0.9284253578732107,0.6053169734151329,0.950920245398773,0.7955010224948875,0.8486707566462167
170,0.5778688524590164,0.8647540983606558,0.5881147540983607,0.9262295081967213,0.7909836065573771,0.8094262295081968
180,0.5555555555555556,0.8786008230452675,0.5946502057613169,0.9382716049382716,0.7942386831275721,0.8271604938271605
190,0.5534979423868313,0.8683127572016461,0.5925925925925926,0.9218106995884774,0.8106995884773662,0.7921810699588477
200,0.5823045267489712,0.8703703703703703,0.6193415637860082,0.9259259259259259,0.7716049382716049,0.7880658436213992
210,0.5867768595041323,0.8987603305785123,0.6115702479338843,0.9359504132231405,0.8078512396694215,0.8161157024793388
220,0.6342975206611571,0.8739669421487604,0.6136363636363636,0.9586776859504132,0.7768595041322314,0.8264462809917356
230,0.6327800829875518,0.8817427385892116,0.6244813278008299,0.921161825726141,0.7551867219917012,0.7883817427385892
240,0.6307053941908713,0.8962655601659751,0.6473029045643154,0.941908713692946,0.7946058091286307,0.8381742738589212
