Retrospective,Naive Bayes Train,Naive Bayes Test,Decision Tree Train,Decision Tree Test,Logistic Regression Train,Logistic Regression Test,Random Forest Train,Random Forest Test,K-Nearest Neighbors Train,K-Nearest Neighbors Test,Neural Network Train,Neural Network Test
10,0.5355427473583093,0.4952015355086372,0.9918347742555236,0.7178502879078695,0.5782901056676273,0.54510556621881,1.0,0.7888675623800384,0.8693563880883766,0.7024952015355086,0.7641690682036504,0.6487523992322457
20,0.5341346153846154,0.5076923076923077,0.9620192307692308,0.7442307692307693,0.5552884615384616,0.5461538461538461,1.0,0.8596153846153847,0.8870192307692307,0.7442307692307693,0.7711538461538462,0.6576923076923077
30,0.5371621621621622,0.525096525096525,0.9951737451737451,0.8127413127413128,0.5796332046332047,0.5328185328185329,1.0,0.8822393822393823,0.8807915057915058,0.749034749034749,0.7905405405405406,0.6891891891891891
40,0.541324311261479,0.5212355212355212,0.9884001933301112,0.806949806949807,0.5853069115514742,0.5675675675675675,1.0,0.8822393822393823,0.88835186080232,0.7258687258687259,0.8139197680038666,0.7277992277992278
50,0.5494186046511628,0.5310077519379846,1.0,0.8062015503875969,0.5920542635658915,0.5736434108527132,1.0,0.8875968992248062,0.9040697674418605,0.7131782945736435,0.7887596899224806,0.6686046511627907
60,0.5390966488586693,0.5495145631067961,0.9990286546867412,0.8407766990291262,0.5988343856240894,0.5611650485436893,1.0,0.9106796116504854,0.9033511413307431,0.7786407766990291,0.8348712967459933,0.7417475728155339
70,0.5604662457503643,0.570873786407767,0.9990286546867412,0.8563106796116505,0.5798931520155415,0.5883495145631068,1.0,0.9145631067961165,0.9169499757163672,0.7747572815533981,0.8562408936376882,0.7844660194174757
80,0.5409356725146199,0.5486381322957199,1.0,0.8793774319066148,0.5891812865497076,0.5778210116731517,1.0,0.9299610894941635,0.9117933723196882,0.7879377431906615,0.8752436647173489,0.8249027237354085
90,0.5571847507331378,0.55078125,0.9975562072336266,0.826171875,0.5894428152492669,0.56640625,1.0,0.892578125,0.9051808406647116,0.7734375,0.8704789833822092,0.798828125
100,0.5628066732090284,0.5333333333333333,1.0,0.8490196078431372,0.584396467124632,0.5901960784313726,1.0,0.907843137254902,0.8935230618253189,0.792156862745098,0.8631010794896958,0.796078431372549
110,0.5555009823182712,0.5638506876227898,1.0,0.8565815324165029,0.5923379174852652,0.5717092337917485,1.0,0.931237721021611,0.9150294695481336,0.7721021611001965,0.8443025540275049,0.7721021611001965
120,0.568058968058968,0.5658153241650294,0.9941031941031941,0.8899803536345776,0.5980343980343981,0.5795677799607073,1.0,0.9194499017681729,0.914987714987715,0.7603143418467584,0.8368550368550368,0.793713163064833
130,0.6010821446138711,0.618860510805501,1.0,0.9135559921414538,0.6237088047220856,0.6463654223968566,1.0,0.9214145383104125,0.911460895228726,0.7976424361493124,0.8642400393507133,0.831041257367387
140,0.5970443349753695,0.6003937007874016,1.0,0.8661417322834646,0.6285714285714286,0.6023622047244095,1.0,0.9015748031496063,0.9133004926108375,0.7913385826771654,0.8605911330049261,0.7874015748031497
150,0.6101778656126482,0.6134122287968442,1.0,0.8994082840236687,0.633399209486166,0.6390532544378699,1.0,0.9368836291913215,0.9204545454545454,0.7909270216962525,0.8819169960474308,0.8284023668639053
160,0.6162617749132375,0.596039603960396,1.0,0.9128712871287129,0.652949925632127,0.6316831683168317,1.0,0.9346534653465347,0.9295984134853743,0.8158415841584158,0.8770451165096679,0.8118811881188119
170,0.6159203980099502,0.6063618290258449,1.0,0.9443339960238568,0.6417910447761194,0.6341948310139165,1.0,0.9502982107355865,0.9273631840796019,0.8170974155069582,0.8761194029850746,0.8170974155069582
180,0.633648581383773,0.6341948310139165,1.0,0.9145129224652088,0.655550024888004,0.6560636182902585,1.0,0.9443339960238568,0.9263315082130413,0.7952286282306164,0.8875062220009955,0.8230616302186878
190,0.6318681318681318,0.6227544910179641,1.0,0.9181636726546906,0.6693306693306693,0.6646706586826348,1.0,0.9421157684630739,0.929070929070929,0.8043912175648703,0.8716283716283716,0.8083832335329342
200,0.6409614421632449,0.656,1.0,0.892,0.658487731597396,0.662,1.0,0.942,0.928392588883325,0.806,0.8793189784677016,0.8
210,0.658487731597396,0.674,1.0,0.924,0.6695042563845769,0.672,1.0,0.944,0.9364046069103655,0.786,0.8898347521281923,0.808
220,0.6576305220883534,0.6332665330661322,0.9984939759036144,0.8997995991983968,0.6596385542168675,0.6492985971943888,1.0,0.9258517034068137,0.9312248995983936,0.7955911823647295,0.8885542168674698,0.8376753507014028
230,0.649546827794562,0.6619718309859155,0.998992950654582,0.9094567404426559,0.6737160120845922,0.6881287726358148,1.0,0.93158953722334,0.9340382678751259,0.8430583501006036,0.8947633434038268,0.8249496981891348
