Retrospective,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,K-Nearest Neighbors,Neural Network
10,0.5398633257403189,0.7084282460136674,0.571753986332574,0.7995444191343963,0.7471526195899773,0.6993166287015945
20,0.5707762557077626,0.6917808219178082,0.5730593607305936,0.7945205479452054,0.730593607305936,0.6894977168949772
30,0.6064073226544623,0.7368421052631579,0.6018306636155606,0.7986270022883295,0.7299771167048055,0.6727688787185355
40,0.555045871559633,0.7591743119266054,0.5596330275229358,0.8761467889908257,0.7729357798165137,0.7408256880733946
50,0.5458715596330275,0.7614678899082569,0.5779816513761468,0.8853211009174312,0.7752293577981652,0.7522935779816514
60,0.542528735632184,0.7264367816091954,0.5609195402298851,0.8620689655172413,0.7931034482758621,0.767816091954023
70,0.5586206896551724,0.8137931034482758,0.5839080459770115,0.8896551724137931,0.7908045977011494,0.7793103448275862
80,0.5517241379310345,0.8114942528735632,0.5839080459770115,0.8666666666666667,0.7931034482758621,0.7701149425287356
90,0.5645161290322581,0.8294930875576036,0.6082949308755761,0.8824884792626728,0.804147465437788,0.7903225806451613
100,0.5902777777777778,0.8356481481481481,0.625,0.9050925925925926,0.7962962962962963,0.8287037037037037
110,0.5902777777777778,0.8472222222222222,0.6550925925925926,0.9050925925925926,0.8402777777777778,0.8379629629629629
120,0.6218097447795824,0.8723897911832946,0.5893271461716937,0.8955916473317865,0.8329466357308585,0.7795823665893271
130,0.5930232558139535,0.813953488372093,0.5930232558139535,0.8837209302325582,0.7930232558139535,0.7813953488372093
140,0.586046511627907,0.8511627906976744,0.6255813953488372,0.9232558139534883,0.827906976744186,0.8302325581395349
150,0.6046511627906976,0.8651162790697674,0.6093023255813953,0.8976744186046511,0.8069767441860465,0.8255813953488372
160,0.5883720930232558,0.8488372093023255,0.6488372093023256,0.9093023255813953,0.8651162790697674,0.8255813953488372
170,0.6285046728971962,0.8691588785046729,0.6869158878504673,0.9065420560747663,0.8341121495327103,0.8200934579439252
180,0.6518691588785047,0.8761682242990654,0.6892523364485982,0.9322429906542056,0.8644859813084113,0.8504672897196262
190,0.6416861826697893,0.9063231850117096,0.6932084309133489,0.9344262295081968,0.8618266978922716,0.819672131147541
200,0.6291079812206573,0.892018779342723,0.704225352112676,0.931924882629108,0.8356807511737089,0.8145539906103286
210,0.6408450704225352,0.9014084507042254,0.6924882629107981,0.9342723004694836,0.8356807511737089,0.8145539906103286
220,0.6014150943396226,0.8820754716981132,0.6981132075471698,0.9080188679245284,0.8207547169811321,0.8537735849056604
230,0.6226415094339622,0.8301886792452831,0.7264150943396226,0.9174528301886793,0.8632075471698113,0.8797169811320755
240,0.6524822695035462,0.9078014184397163,0.7281323877068558,0.9361702127659575,0.8628841607565012,0.8676122931442081
