Retrospective,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,K-Nearest Neighbors,Neural Network
10,0.5342163355408388,0.6368653421633554,0.57560706401766,0.7698675496688742,0.6616997792494481,0.6164459161147903
20,0.4966850828729282,0.6988950276243094,0.5502762430939226,0.8038674033149171,0.6850828729281768,0.612707182320442
30,0.49972360420121614,0.7086788280818132,0.5627418463239359,0.8336097291321172,0.7020453289110006,0.6357103372028745
40,0.5315265486725663,0.7533185840707964,0.5392699115044248,0.8639380530973452,0.7007743362831859,0.6526548672566371
50,0.521594684385382,0.7652270210409745,0.5598006644518272,0.8781838316722038,0.7115171650055371,0.6622369878183831
60,0.5301939058171745,0.7761772853185596,0.5595567867036011,0.8775623268698061,0.7301939058171745,0.6698060941828254
70,0.511640798226164,0.8082039911308204,0.5471175166297118,0.8869179600886918,0.7289356984478935,0.6868070953436807
80,0.4853022739877981,0.785912368275097,0.5557404326123128,0.8973932334997227,0.7376594564614531,0.6722129783693843
90,0.5074875207986689,0.8141985579589573,0.5507487520798668,0.9107043815862451,0.7470881863560732,0.7293399889073766
100,0.5063782584581253,0.7681641708264004,0.5446478092068774,0.8962839711591791,0.740432612312812,0.7160288408208542
110,0.4969461410327596,0.8445308162132149,0.5569128262076624,0.9128262076624097,0.7656857301499167,0.7284841754580789
120,0.49694274596998333,0.8660366870483602,0.5875486381322957,0.9127292940522512,0.7559755419677598,0.7315175097276264
130,0.5158597662771286,0.8486366165831942,0.5631608235948804,0.9087367835281024,0.755147468002226,0.7456872565386756
140,0.5267260579064588,0.8413140311804009,0.5528953229398663,0.9036748329621381,0.7566815144766147,0.7600222717149221
150,0.516991643454039,0.8306406685236769,0.5543175487465181,0.916991643454039,0.754874651810585,0.7459610027855154
160,0.5337423312883436,0.8555493586168432,0.5437813720022309,0.913552704963748,0.7601784718349136,0.7306190741773564
170,0.53515625,0.8649553571428571,0.5496651785714286,0.9285714285714286,0.7505580357142857,0.75
180,0.5332216638749302,0.8732551647124511,0.5494137353433836,0.9285315466219989,0.7632607481853713,0.7375767727526521
190,0.524022346368715,0.8620111731843575,0.5553072625698324,0.9039106145251397,0.7463687150837989,0.7229050279329609
200,0.5505869200670765,0.8490776970374511,0.5762996087199553,0.9150363331470095,0.7557294577976523,0.7534935718278368
210,0.5506435366536094,0.8640179071068831,0.5713486289871292,0.9255735870173475,0.7582540570789031,0.7470621152770005
220,0.55406162464986,0.876750700280112,0.5854341736694678,0.915406162464986,0.7624649859943977,0.7563025210084033
230,0.5201793721973094,0.8845291479820628,0.554372197309417,0.9164798206278026,0.7533632286995515,0.7600896860986547
240,0.5375560538116592,0.8761210762331838,0.5616591928251121,0.92152466367713,0.7511210762331838,0.7640134529147982
250,0.5577354260089686,0.8738789237668162,0.577354260089686,0.9204035874439462,0.7634529147982063,0.7584080717488789
260,0.5457094784071789,0.8822209758833427,0.5552439708356702,0.9203589455973079,0.7627593942793045,0.783510936623668
270,0.5471380471380471,0.9040404040404041,0.5813692480359147,0.936026936026936,0.7682379349046016,0.7777777777777778
280,0.5471380471380471,0.8843995510662177,0.5774410774410774,0.9287317620650954,0.7699214365881033,0.7693602693602694
290,0.5547445255474452,0.8781583380123527,0.5867490174059518,0.9264458169567659,0.781021897810219,0.7692307692307693
300,0.5794497473329591,0.8506457046603032,0.5940482874789444,0.914093206064009,0.7714766984839978,0.7714766984839978
310,0.5418774592467679,0.896008993816751,0.5542439572793705,0.9342327150084317,0.7785272625070264,0.7774030354131535
320,0.5613048368953881,0.9004499437570304,0.562992125984252,0.9403824521934758,0.7851518560179978,0.7885264341957255
330,0.5790658413055711,0.8846370287000562,0.5756893640967924,0.9324704558244232,0.7844682048396173,0.7816544738323016
340,0.5588732394366197,0.9008450704225353,0.5667605633802817,0.9380281690140845,0.7966197183098591,0.7859154929577464
350,0.5684507042253522,0.895774647887324,0.5633802816901409,0.9397183098591549,0.7977464788732395,0.8016901408450704
360,0.5952649379932357,0.883314543404735,0.589064261555806,0.9165727170236753,0.7711386696730552,0.790304396843292
370,0.5544275239706712,0.8894529046813311,0.5623237450648618,0.9323181049069373,0.7941342357586012,0.79639029892837
380,0.560067681895093,0.892272983643542,0.5617597292724196,0.9390862944162437,0.7862380146644106,0.7856739988719684
390,0.5618294748729531,0.9090909090909091,0.5759457933370977,0.9429700734048561,0.7916431394692264,0.7713156408808582
400,0.562394127611519,0.9040090344438171,0.5787690570299266,0.9435347261434218,0.7871259175607002,0.8102766798418972
410,0.5534200113058225,0.899943470887507,0.5568117580553985,0.9372526851328434,0.7970604861503674,0.7885811192764274
420,0.581447963800905,0.9095022624434389,0.5735294117647058,0.9383484162895928,0.7929864253393665,0.8014705882352942
430,0.5831447963800905,0.8998868778280543,0.5695701357466063,0.9343891402714932,0.793552036199095,0.8133484162895928
