Method,Retrospective,Dataset,Accuracy,Recall,Precision,F-Score
Random Forest,40,Train,0.8622522957950701,0.9453499520613614,0.8121911037891268,0.8737261852015951
Random Forest,40,Test,0.7644787644787645,0.8828125,0.710691823899371,0.7874564459930313
K-Nearest Neighbors,40,Train,0.88835186080232,0.887823585810163,0.8903846153846153,0.8891022563610178
K-Nearest Neighbors,40,Test,0.7258687258687259,0.75,0.7111111111111111,0.7300380228136882
Neural Network,40,Train,0.80521991300145,0.7775647171620326,0.8258655804480651,0.8009876543209876
Neural Network,40,Test,0.7297297297297297,0.6953125,0.7416666666666667,0.717741935483871
Naive Bayes,50,Train,0.5494186046511628,0.8641975308641975,0.5362404242781379,0.6618181818181819
Naive Bayes,50,Test,0.5310077519379846,0.8560885608856088,0.5333333333333333,0.6572237960339944
Decision Tree,50,Train,0.8590116279069767,0.8727445394112061,0.854089219330855,0.8633161108501644
Decision Tree,50,Test,0.7655038759689923,0.8007380073800738,0.7640845070422535,0.781981981981982
Logistic Regression,50,Train,0.5920542635658915,0.6210826210826211,0.5961713764813127,0.6083720930232558
Logistic Regression,50,Test,0.5736434108527132,0.5867158671586716,0.5955056179775281,0.5910780669144982
Random Forest,50,Train,0.8536821705426356,0.9534662867996201,0.7987271280827367,0.8692640692640693
Random Forest,50,Test,0.7829457364341085,0.915129151291513,0.7359050445103857,0.8157894736842105
K-Nearest Neighbors,50,Train,0.9040697674418605,0.9050332383665717,0.9067554709800191,0.905893536121673
K-Nearest Neighbors,50,Test,0.7131782945736435,0.7047970479704797,0.7374517374517374,0.720754716981132
Neural Network,50,Train,0.8018410852713178,0.7587844254510921,0.8375262054507338,0.7962132536123567
Neural Network,50,Test,0.6821705426356589,0.6531365313653137,0.7165991902834008,0.6833976833976834
Naive Bayes,60,Train,0.5390966488586693,0.8774373259052924,0.536322360953462,0.6657273687918281
Naive Bayes,60,Test,0.5495145631067961,0.872791519434629,0.5575620767494357,0.6804407713498623
Decision Tree,60,Train,0.8494414764448761,0.8950789229340761,0.830318690783807,0.8614834673815907
Decision Tree,60,Test,0.7650485436893204,0.8480565371024735,0.7547169811320755,0.7986688851913477
Logistic Regression,60,Train,0.5988343856240894,0.6406685236768802,0.6111603188662533,0.6255666364460563
Logistic Regression,60,Test,0.5611650485436893,0.6395759717314488,0.5934426229508196,0.6156462585034014
Random Forest,60,Train,0.8416707139388052,0.9377901578458682,0.7959022852639874,0.8610400682011935
Random Forest,60,Test,0.7728155339805826,0.911660777385159,0.7371428571428571,0.8151658767772512
K-Nearest Neighbors,60,Train,0.9033511413307431,0.8969359331476323,0.9165085388994307,0.9066166119192868
